scenario_id,seed,pattern_id,eligible,requalified_at_ms,deformation_onset_ms,deformation_clear_ms,shape_revocation_time_ms,flat_revocation_time_ms,comparable_revocation,revocation_lead_ms,tasks_exposed_before_shape_revocation,c_bypasses,d_bypasses,c_wrong_bypasses,d_wrong_bypasses,c_wrong_bypass_rate_over_bypasses,d_wrong_bypass_rate_over_bypasses,c_wrong_bypass_rate_over_tasks,d_wrong_bypass_rate_over_tasks,scenario_kind
D4_HARD_ROLE_ABSENCE,99,7,True,80640.0,85500.0,89500.0,85500.0,87540.0,True,2040.0,0,18,0,4,0,0.2222222222222222,,0.14814814814814814,0.0,HARD
D4_HARD_ROLE_ABSENCE,500,5,True,80720.0,86000.0,90000.0,86000.0,88800.0,True,2800.0,0,16,0,4,0,0.25,,0.18181818181818182,0.0,HARD
D4_HARD_ROLE_ABSENCE,500,6,True,81080.0,86000.0,90000.0,86000.0,86960.0,True,960.0,0,3,0,3,0,1.0,,0.125,0.0,HARD
D4_HARD_ROLE_ABSENCE,500,7,True,80280.0,86000.0,90000.0,86000.0,87980.0,True,1980.0,0,10,0,3,0,0.3,,0.15789473684210525,0.0,HARD
D4_HARD_ROLE_ABSENCE,777,5,True,80680.0,86500.0,90500.0,86500.0,88620.0,True,2120.0,0,15,0,5,0,0.3333333333333333,,0.17857142857142858,0.0,HARD
D4_HARD_ROLE_ABSENCE,777,6,True,80360.0,86500.0,90500.0,86500.0,86880.0,True,380.0,0,3,0,3,0,1.0,,0.12,0.0,HARD
D4_HARD_ROLE_ABSENCE,777,7,True,80880.0,86500.0,90500.0,86500.0,88220.0,True,1720.0,0,13,0,3,0,0.23076923076923078,,0.13043478260869565,0.0,HARD
D4_HARD_ROLE_ABSENCE,1337,5,True,80520.0,87000.0,91000.0,87000.0,89080.0,True,2080.0,0,14,0,6,0,0.42857142857142855,,0.24,0.0,HARD
D4_HARD_ROLE_ABSENCE,1337,6,True,80660.0,87000.0,91000.0,87000.0,88420.0,True,1420.0,0,3,0,3,0,1.0,,0.11538461538461539,0.0,HARD
D4_HARD_ROLE_ABSENCE,1337,7,True,80640.0,87000.0,91000.0,87000.0,89580.0,True,2580.0,0,21,0,5,0,0.23809523809523808,,0.18518518518518517,0.0,HARD
D5_HARD_ANGULAR_COMPRESSION,42,5,True,80900.0,85000.0,89000.0,85000.0,87600.0,True,2600.0,0,9,0,5,0,0.5555555555555556,,0.2777777777777778,0.0,HARD
D5_HARD_ANGULAR_COMPRESSION,42,6,True,80700.0,85000.0,89000.0,85000.0,85240.0,True,240.0,0,3,0,3,0,1.0,,0.125,0.0,HARD
D5_HARD_ANGULAR_COMPRESSION,42,7,True,80660.0,85000.0,89000.0,85000.0,87340.0,True,2340.0,0,13,0,4,0,0.3076923076923077,,0.18181818181818182,0.0,HARD
