scenario_id,seed,task_key,task_index,time_ms,pattern_id,phase,route_class,route_quality,candidate_admissible,candidate_latency_ms,candidate_cost,relapse_phase,deformation_onset_ms,deformation_clear_ms,arch,latency_ms,admissible,bypassed,wrong_bypass,fallback,executed_cost,route_allowed_before_shape,shape_blocked,route_gate_reason,first_blocking_gate,c_success_before,c_success_after,depreciation_state_before,depreciation_state,structural_cost_state,requalify_count,shadow_outcome_score,fresh_requalify_confidence,requalified_at_ms,promotion_completed_this_task,shape_allowed,shape_classification,shape_integrity_state,shape_authority_state,shape_first_failed_invariant,shape_all_failed_invariants,shape_raw_soft_warnings,shape_record_age_ms,shape_verification_pass,shape_epoch_match,shape_scope_match,shape_restore_count,shape_restoration_active,shape_restoration_requirement_satisfied,shape_reconstruction_triggered,shape_record_id,window_type
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4280,4280,85600.0,0,recovery,PERSISTENT_FAILURE,0.1,False,24.286347585496742,0.8,PERSISTENT_FAILURE,85000.0,85200.0,D_TETRAHEDRAL_GATE,38.835507527560864,True,False,False,True,1.0,False,False,depreciation,depreciation,0.670000000027174,0.670000000027174,DEPRECATED,DEPRECATED,0.3,0,,,,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],0.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|856,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4281,4281,85620.0,6,recovery,BORDERLINE_RELAPSE,0.92,True,11.758947123954169,0.3,CLEAN_TEST,85000.0,85200.0,D_TETRAHEDRAL_GATE,11.758947123954169,True,True,False,False,0.3,True,False,NONE,NONE,0.9834434860680119,0.9835269627900327,ACTIVE,ACTIVE,0.3,5,,,81440.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],20.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|856,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4282,4282,85640.0,2,recovery,CONTROL,1.0,True,13.788456884034233,0.3,CONTROL,85000.0,85200.0,D_TETRAHEDRAL_GATE,13.788456884034233,True,True,False,False,0.3,True,False,NONE,NONE,0.9990938115981951,0.9992297394791212,ACTIVE,ACTIVE,0.3,5,,,80620.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],40.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|856,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4283,4283,85660.0,4,recovery,CONTROL,1.0,True,5.9041842123943065,0.3,CONTROL,85000.0,85200.0,D_TETRAHEDRAL_GATE,5.9041842123943065,True,True,False,False,0.3,True,False,NONE,NONE,0.9998483539540921,0.9998711007155835,ACTIVE,ACTIVE,0.3,5,,,80900.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],60.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|856,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4284,4284,85680.0,5,recovery,BORDERLINE_RELAPSE,0.92,True,9.7408905465408,0.3,CLEAN_TEST,85000.0,85200.0,D_TETRAHEDRAL_GATE,9.7408905465408,True,True,False,False,0.3,True,False,NONE,NONE,0.9838711007155837,0.9838904355006796,ACTIVE,ACTIVE,0.3,5,,,80820.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],80.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|856,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4285,4285,85700.0,0,recovery,PERSISTENT_FAILURE,0.1,False,25.85677424427185,0.8,PERSISTENT_FAILURE,85000.0,85200.0,D_TETRAHEDRAL_GATE,38.29866465106154,True,False,False,True,1.0,False,False,depreciation,depreciation,0.670000000027174,0.670000000027174,DEPRECATED,DEPRECATED,0.3,0,,,,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],0.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|857,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4286,4286,85720.0,2,recovery,CONTROL,1.0,True,11.481215463485155,0.3,CONTROL,85000.0,85200.0,D_TETRAHEDRAL_GATE,11.481215463485155,True,True,False,False,0.3,True,False,NONE,NONE,0.9992297394791212,0.999345278173247,ACTIVE,ACTIVE,0.3,5,,,80620.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],20.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|857,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4287,4287,85740.0,6,recovery,BORDERLINE_RELAPSE,0.92,True,10.929135592690278,0.3,CLEAN_TEST,85000.0,85200.0,D_TETRAHEDRAL_GATE,10.929135592690278,True,True,False,False,0.3,True,False,NONE,NONE,0.9835269627900327,0.9835979180203895,ACTIVE,ACTIVE,0.3,5,,,81440.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],40.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|857,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4288,4288,85760.0,4,recovery,CONTROL,1.0,True,9.303683284995117,0.3,CONTROL,85000.0,85200.0,D_TETRAHEDRAL_GATE,9.303683284995117,True,True,False,False,0.3,True,False,NONE,NONE,0.9998711007155835,0.9998904355006794,ACTIVE,ACTIVE,0.3,5,,,80900.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],60.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|857,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4289,4289,85780.0,0,recovery,PERSISTENT_FAILURE,0.1,False,24.104749396544666,0.8,PERSISTENT_FAILURE,85000.0,85200.0,D_TETRAHEDRAL_GATE,41.17736165724648,True,False,False,True,1.0,False,False,depreciation,depreciation,0.670000000027174,0.670000000027174,DEPRECATED,DEPRECATED,0.3,0,,,,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],80.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|857,RESTORATION
